"400109","18991230","18991230","1"
"400112","18991230","18991230","1"
"400123","18991230","18991230","1"
"400126","18991230","18991230","1"
"400134","18991230","18991230","1"
"400136","18991230","18991230","1"
"400142","18991230","18991230","1"
"400148","18991230","18991230","1"
"400160","18991230","18991230","1"
"400173","18991230","18991230","1"
"400174","18991230","18991230","1"
"400434","18991230","18991230","1"
"400441","18991230","18991230","1"
"400443","18991230","18991230","1"
"400445","18991230","18991230","1"
"400450","18991230","18991230","1"
"400473","18991230","18991230","1"
"400475","18991230","18991230","1"
"400477","18991230","18991230","1"
"400481","18991230","18991230","1"
"400487","18991230","18991230","1"
"400489","18991230","18991230","1"
"400207","18991230","18991230","1"
"400235","18991230","18991230","1"
"400249","18991230","18991230","1"
"400253","18991230","18991230","1"
"400262","18991230","18991230","1"
"400264","18991230","18991230","1"
"400266","18991230","18991230","1"
"400276","18991230","18991230","1"
"400290","18991230","18991230","1"
"400295","18991230","18991230","1"
"400299","18991230","18991230","1"
"400305","18991230","18991230","1"
"400319","18991230","18991230","1"
"400322","18991230","18991230","1"
"400337","18991230","18991230","1"
"400339","18991230","18991230","1"
"400340","18991230","18991230","1"
"400343","18991230","18991230","1"
"400356","18991230","18991230","1"
"400361","18991230","18991230","1"
"400370","18991230","18991230","1"
"400372","18991230","18991230","1"
"400379","18991230","18991230","1"
"400385","18991230","18991230","1"
"400388","18991230","18991230","1"
"400003","18991230","18991230","1"
"400004","18991230","18991230","1"
"400006","18991230","18991230","1"
"400011","18991230","18991230","1"
"400040","18991230","18991230","1"
"400042","18991230","18991230","1"
"400044","18991230","18991230","1"
"400050","18991230","18991230","1"
"400052","18991230","18991230","1"
"400071","18991230","18991230","1"
"400077","18991230","18991230","1"
"400078","18991230","18991230","1"
"400081","18991230","18991230","1"
"400803","18991230","18991230","1"
"400819","18991230","18991230","1"
"400830","18991230","18991230","1"
"400867","18991230","18991230","1"
"400873","18991230","18991230","1"
"400893","18991230","18991230","1"
"400897","18991230","18991230","1"
"400905","18991230","18991230","1"
"400918","18991230","18991230","1"
"400922","18991230","18991230","1"
"400943","18991230","18991230","1"
"400958","18991230","18991230","1"
"400961","18991230","18991230","1"
"400984","18991230","18991230","1"
"400985","18991230","18991230","1"
"400986","18991230","18991230","1"
"400989","18991230","18991230","1"
"400994","18991230","18991230","1"
"400999","18991230","18991230","1"
"401000","18991230","18991230","1"
"400493","18991230","18991230","1"
"400502","18991230","18991230","1"
"400503","18991230","18991230","1"
"400513","18991230","18991230","1"
"400514","18991230","18991230","1"
"400528","18991230","18991230","1"
