"400119","20110107","20110107"
"400128","20110107","20110107"
"400131","20110107","20110107"
"400143","20110107","20110107"
"400144","20110107","20110107"
"400156","20110107","20110107"
"400162","20110107","20110107"
"400164","20110107","20110107"
"400165","20110107","20110107"
"400166","20110107","20110107"
"400171","20110107","20110107"
"400173","20110107","20110107"
"400175","20110107","20110107"
"400177","20110107","20110107"
"400180","20110107","20110107"
"400183","20110107","20110107"
"400185","20110107","20110107"
"400190","20110107","20110107"
"400192","20110107","20110107"
"400394","20110107","20110107"
"400402","20110107","20110107"
"400407","20110107","20110107"
"400409","20110107","20110107"
"400421","20110107","20110107"
"400442","20110107","20110107"
"400446","20110107","20110107"
"400467","20110107","20110107"
"400474","20110107","20110107"
"400203","20110107","20110107"
"400215","20110107","20110107"
"400218","20110107","20110107"
"400229","20110107","20110107"
"400231","20110107","20110107"
"400233","20110107","20110107"
"400260","20110107","20110107"
"400267","20110107","20110107"
"400275","20110107","20110107"
"400295","20110107","20110107"
"400304","20110107","20110107"
"400313","20110107","20110107"
"400319","20110107","20110107"
"400328","20110107","20110107"
"400354","20110107","20110107"
"400360","20110107","20110107"
"400375","20110107","20110107"
"400385","20110107","20110107"
"400004","20110107","20110107"
"400015","20110107","20110107"
"400061","20110107","20110107"
"400065","20110107","20110107"
"400069","20110107","20110107"
"400071","20110107","20110107"
"400084","20110107","20110107"
"400085","20110107","20110107"
"400095","20110107","20110107"
"400790","20110107","20110107"
"400818","20110107","20110107"
"400830","20110107","20110107"
"400831","20110107","20110107"
"400841","20110107","20110107"
"400845","20110107","20110107"
"400848","20110107","20110107"
"400858","20110107","20110107"
"400868","20110107","20110107"
"400876","20110107","20110107"
"400885","20110107","20110107"
"400893","20110107","20110107"
"400897","20110107","20110107"
"400906","20110107","20110107"
"400931","20110107","20110107"
"400953","20110107","20110107"
"400960","20110107","20110107"
"400972","20110107","20110107"
"400981","20110107","20110107"
"400995","20110107","20110107"
"400499","20110107","20110107"
"400508","20110107","20110107"
"400510","20110107","20110107"
"400514","20110107","20110107"
"400515","20110107","20110107"
"400538","20110107","20110107"
"400539","20110107","20110107"
"400545","20110107","20110107"
"400550","20110107","20110107"
"400555","20110107","20110107"
"400559","20110107","20110107"
